,"T1.M1","T1.M2","T1.M3","T1.M4","T1.M5","T2.M1","T2.M2","T2.M3","T3.M1","T3.M2","T3.M3","T4.M1","T4.M2","T4.M3","T5.M1","T5.M2","T5.M3","T6.M1","T6.M2","T6.M3","T6.M4","T7.M1","T7.M2","T7.M3","T8.M1","T8.M2","T8.M3","T9.M1","T9.M2","T9.M3","T10.M1","T10.M2","T10.M3","T10.M4","T10.M5","T10.M6","T10.M7","T10.M8","T11.M1","T11.M2","T11.M3","T11.M4","T11.M5","T12.M1","T12.M2","T12.M3","T12.M4","T13.M1","T13.M2","T13.M3","T13.M4","T13.M5","T13.M6","T13.M7","T13.M8","T14.M1","T14.M2","T14.M3","T14.M4","T14.M5","T14.M6","T15.M1","T15.M2","T15.M3","T15.M4","T15.M5","T15.M6","T15.M7"
"Astarte montagui",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Asterias rubens",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Asterina gibbosa",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Asterina phylactica",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Astroides calycularis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,3
"Astropecten aranciacus",3,1,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Astropecten irregularis",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Atrina fragilis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3
"Axinella damicornis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0
"Axinella polypoides",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0
"Balanophyllia europaea",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Balanus balanus",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,1,2,3
"Balanus crenatus",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,1,2,3
"Baltidrilus costatus",0,3,3,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Barbatia barbata",0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0
"Barleeia unifasciata",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Barnea candida",0,2,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Barnea parva",0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Bathymodiolus azoricus",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,3
"Bathypolypus arcticus",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia elegans",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia gracilis",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia guilliamsoniana",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia pelagica",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia pilosa",3,3,2,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia sarsi",3,3,2,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bathyporeia tenuipes",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bela nebula",3,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Bittium reticulatum",3,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0
"Boccardia polybranchia",0,3,1,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,3,3,3,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Bodotria arenosa",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Bodotria scorpioides",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Boltenia echinata",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0
"Borealea nobilis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Boreochiton ruber",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Boreomysis arctica",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Botryllus schlosseri",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
"Brachynotus gemmellari",3,3,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Brachynotus sexdentatus",3,3,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Branchiostoma lanceolatum",0,3,1,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Brevinucula verrillii",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Brissopsis lyrifera",0,0,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Britorchestia brito",3,2,2,2,1,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Buccinum undatum",3,1,1,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Byblis gaimardii",1,3,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Bylgides sarsi",3,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Cadlina laevis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Callianassa subterranea",0,1,2,3,3,0,0,3,3,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0
"Callista chione",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Calocarides coronatus",0,1,3,3,0,0,0,3,3,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0
"Calocaris macandreae",0,1,3,3,0,0,0,3,3,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0
"Cancer borealis",3,1,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Cancer pagurus",3,2,1,0,0,0,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Capitella capitata",0,3,2,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Capitella teleta",0,3,1,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Caprella equilibra",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Caprella grandimana",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Caprella linearis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Caprella septentrionalis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Carcinus aestuarii",3,1,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Carcinus maenas",3,3,3,0,0,0,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Caryophyllia inornata",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Caryophyllia smithii",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Cellaria sinuosa",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3
"Cerastoderma edule",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Cerastoderma glaucum",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0
"Chaceon affinis",3,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Chaetopterus variopedatus",0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,3,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Chaetozone setosa",0,3,2,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Chamelea gallina",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Chamelea striatula",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Chartella papyracea",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,2,3
"Cheirocratus sundevallii",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Chlamys islandica",3,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Chondrosia reniformis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,3,3
"Chthamalus montagui",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,1,2,3
"Chthamalus stellatus",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,1,2,3
"Ciliatocardium ciliatum",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Cirratulus cirratus",0,3,2,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Cirriformia tentaculata",0,3,2,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Cistenides granulata",0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
"Cladocora caespitosa",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,3
"Clava multicornis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Clavelina lepadiformis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Clibanarius erythropus",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Cliona celata",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"Cliona viridis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0
"Coralliophaga lithophagella",0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Corallium rubrum",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3
"Corophium arenarium",1,3,1,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Corophium multisetosum",1,3,1,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"Corophium volutator",1,3,1,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
