,"S","SM","M","ML","L","Vermi.uns.","Vermi.seg.","Bivalved","Turbinate","Articulate","No prot.","Tube","Burrow","Case","Soft shell","Hard shell","Non flex.","Very flex.","Flex","Jointed","Fragile","Intermediate","Robust","Low","Temporary","Permanent","Very short","Short","Long","Very long","Less.half","Half","Long.half","Asexual","Sexual","Gonochoristic","Hermaphroditic","Parthenogenetic","Non fert.","External","Internal","Fragmentation","Oviparous","Ovoviviparous","Viviparous","Planktotrophic","Lecitotrophic","Direct develop.","Semelparous","Annual epi.","Annual prot.","Attached","Tube dweller","Burrow dweller","Case builder","Free","Inf. deep","Inf. middle","Inf. top","Epibenthic","Bent. pelagic","Suspension","Surface","Sub surface","Selective","Miner","Parasite","Detritivore","Omnivore","Herbivore","Carnivore","Scavenger","Parasite","Jaws","Siphon","Tentaculate","Pharynx ","Radula","Net","Sessile","Semi mobile","Mobile","Swimmer","Raft. drift.","Crawler","Byssus","Tube","Burrower","Non mig.","Vertical","Horizontal","Non dispersal","Local","Long distance","No transport","Diffusive mixing","Surface deposition","Conveyer belt transp.","Rev. conveyer belt transp.","Solitary","Gregarious","Aggregated"
"Valvata sp. (O.F.Muller)","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0",3,"0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0",3,"0","0",3,"0","0","0","0",3,"0",2,3,2,"0","0",3,"0","0","0","0",3,1,"0","0","0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0",3,"0","0",3,"0","0","0",3,"0","0"
"Anisus (Bathymophalus) contortus (Linnaeus)","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0",3,"0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0","0","0",3,"0","0",3,"0","0","0","0","0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0",3,"0",3,1,"0","0","0",3,"0","0"
"Gyraulus sp. (Agassiz)","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0",3,"0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0","0","0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0",3,"0",3,"0","0","0","0",3,"0","0"
"Theodoxus fluviatilis (Linnaeus)","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0",3,"0","0",3,"0","0","0",3,"0","0",3,3,"0","0","0",3,"0","0",3,"0","0","0","0",3,3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0",3,"0","0","0",3,1,3,"0","0","0","0",3,"0","0"
"Limapontia captitata (O.F. Müller)","0",3,"0","0","0",3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0","0","0",3,"0",3,"0",3,"0","0","0",3,"0","0",3,"0",3,3,"0","0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",2,"0",2,"0","0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,1,3,"0","0","0","0",3,"0","0"
"Alderia modesta (Lovén)","0",3,"0","0","0",3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0","0","0",3,"0",3,"0",3,"0","0","0",3,"0","0",3,"0",3,3,"0","0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",2,"0",2,"0","0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,1,3,"0","0","0","0",3,"0","0"
"Anodonta sp. (Lamarck)","0","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0","0","0",3,3,"0","0","0",3,3,"0","0","0","0",3,"0","0",3,"0","0",3,"0","0","0",3,"0","0","0","0",3,"0",3,"0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0"
"Pisidium sp. (L. Pfeiffer)","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0","0",3,"0","0",3,"0",3,3,"0",3,"0","0","0",3,"0","0",3,"0","0","0",3,3,"0","0","0","0","0","0",3,"0","0",2,2,"0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0",2,"0","0",2,"0","0","0","0","0",2
"Sphaerium sp. (Scopoli)","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0","0",3,"0","0","0",3,3,"0","0","0","0","0","0",3,"0","0",2,3,"0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0",2,"0","0",2,"0","0","0","0","0",2
"Cerastoderma (Cardium) glaucum (Poiret)","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0","0",3,"0","0",3,"0","0",3,3,"0","0","0",3,"0","0","0",3,"0",3,"0","0","0",3,"0","0","0",3,"0","0","0","0",3,"0","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",1,"0","0",3,3,"0","0",2,2,1,"0",1,3,"0","0",2,2,"0"
"Macoma balthica (Linnaeus)","0","0",3,"0","0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0",3,"0","0",3,3,"0","0","0",3,"0","0","0",3,"0",3,"0","0","0",3,"0","0","0",3,"0","0","0",3,1,"0","0",3,3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0",2,1,"0","0",2,2,1,"0",1,2,"0"
"Mya arenaria (Linnaeus)","0","0","0","0",3,"0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0",3,"0","0",3,3,"0","0","0",3,"0","0","0",3,"0",3,"0","0","0",3,"0","0","0",3,"0","0",3,2,"0","0","0",3,3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0","0",3,3,"0","0",3,"0","0","0",1,2,1,"0",3,"0","0"
"Mytilus edulis vel. trossulus (Linnaeus)","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,"0",1,3,"0","0","0",3,"0",3,"0","0",3,3,"0","0","0",3,"0","0","0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0","0","0","0",3,"0",3,"0","0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0",3,"0","0","0","0","0",3,"0","0",3,"0","0",3,"0","0",3,"0",1,"0","0","0","0",3
"Ostracoda",3,"0","0","0","0","0","0",3,"0","0","0","0","0","0","0",3,3,"0","0","0","0","0",3,1,2,1,3,"0","0","0","0",3,"0",3,3,2,"0",1,"0",3,3,"0",3,3,"0",3,3,3,"0","0",3,"0","0","0","0",3,"0","0",1,2,"0","0",3,3,1,"0","0",3,3,"0","0","0","0",3,"0","0","0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,2,3,"0","0","0","0",2,2,"0"
"Idothea baltica (Pallas)","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0",3,"0","0","0","0",3,"0",3,"0","0",3,"0","0",3,"0","0","0","0",3,"0",3,3,"0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0",2,1,"0","0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0","0",3,2,1,2,"0","0","0",3,"0","0","0",3,2,3,"0","0","0","0",3,"0","0"
"Idothea chelipes (Pallas)","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0",3,"0","0","0","0",3,"0",3,"0","0",3,"0","0",3,"0","0","0","0",3,"0",3,3,"0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0",2,1,"0","0","0",3,"0","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0","0",3,2,1,2,"0","0","0",3,"0","0","0",3,2,3,"0","0","0","0",3,"0","0"
